case_id,wt_scale_sq_norm_contrib,pv_scale_sq_norm_contrib,bess_scale_sq_norm_contrib,electrolyzer_lvl2_scale_sq_norm_contrib,cgh2_scale_sq_norm_contrib,reformer_auto_scale_sq_norm_contrib,biogas_storage_scale_sq_norm_contrib,genset_gas_scale_sq_norm_contrib,meohsyn_syngas_scale_sq_norm_contrib,layout_distance,rel_cost_gap
364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.0,0.0,1.6598506214856774e-06,3.639939200533855e-05,0.0002627333340371615,0.0,0.0001622491266501702,0.0,0.0,0.0004465754817311232,0.030159860494459838,0.0056876995785410936
363.0,0.0,1.8715704758542716e-05,7.498422460691489e-06,3.427301205436375e-05,0.0,0.002142094567468804,0.0,0.0,5.978569126355086e-05,0.04756435007446178,0.14089570949827546
362.0,0.0,9.937136450549754e-06,0.0021896684815175165,4.4610952377688134e-05,0.0,9.037376184872518e-05,0.0,0.0,1.2529170064693963e-07,0.0483188951021764,0.3686512200349154
397.0,0.0,0.00017020830948906747,0.0001422263279901845,0.00045763435751108747,0.0,0.00011115412344782243,0.0,0.0,0.00048011620228745116,0.036896332076855734,0.41566743253180327
359.0,0.0,5.422120625773175e-10,0.0017467506099820317,0.00027466487000840173,0.0,0.011418155598180924,0.0,0.0,0.006265363555746423,0.1403742682122683,0.4412698677317979
357.0,0.0,2.18600548208575e-05,0.002275193039966449,1.3753160360755188e-05,0.0,0.0039901272474925425,1.6099202147367587e-32,0.0,0.005819399513770619,0.1100923840073019,0.45284468219036544
355.0,0.0,3.83030671588883e-06,1.5749274788933651e-06,0.00026290428520576607,0.0,0.0007318708013599028,0.0,0.0,0.0037643440776528266,0.06902553439426078,0.4848980136144944
367.0,0.0,0.0001352094417552549,0.00012937555290976904,3.912661202294559e-06,0.0,0.001953583962856675,0.0,0.0,0.0011394399534290463,0.05797863030594152,0.4941943887706388
366.0,0.0,4.7423592534900245e-05,6.693021740158658e-06,1.4592675008473018e-05,0.0,0.000619790382769966,0.0,0.0,0.0023998112864420103,0.05557257379765228,0.5063326456161626
