,range
wt_scale,67.58683280809232
pv_scale,145.93352334239663
bess_scale,226.89950070136697
electrolyzer_lvl2_scale,47.134860088796145
cgh2_scale,9.826368672804962
reformer_auto_scale,19938.0
biogas_storage_scale,6.901368810508447
genset_gas_scale,4.988669593647878
meohsyn_syngas_scale,21653.0
distillery_syngas_scale,21610.0
