case_id,wt_scale_sq_norm_contrib,pv_scale_sq_norm_contrib,bess_scale_sq_norm_contrib,electrolyzer_lvl2_scale_sq_norm_contrib,cgh2_scale_sq_norm_contrib,reformer_auto_scale_sq_norm_contrib,biogas_storage_scale_sq_norm_contrib,genset_gas_scale_sq_norm_contrib,meohsyn_syngas_scale_sq_norm_contrib,distillery_syngas_scale_sq_norm_contrib,layout_distance,rel_cost_gap
207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,7.891219639027382e-07,0.00020752562656409115,2.0472162538052057e-06,2.025352999842012e-05,8.95935723779445e-06,0.0010400608824863349,0.0012943630319247246,1.2285702902124675e-05,8.531469441591373e-07,0.0001254068323639736,0.05208209335884389,1.040811288851849
253.0,2.3411899311063806e-05,0.0002587698752461409,0.0009464634486250128,0.000340301037839293,0.0006648963928757647,0.003756463977038821,0.00040653052718953237,0.0039810616529298015,0.0019411567105758433,0.0002593277273855382,0.11215339160728403,1.3041603250642453
251.0,3.2242482689325054e-05,4.0238756051527255e-05,0.0006811929127027058,0.0001743940246277351,0.002205444958021288,0.003930581834482361,0.0005806667463717728,0.002440756978112198,0.0022980451402564933,0.00023745369568350298,0.1123433021100898,1.6481482422863662
259.0,1.9429140440916766e-05,0.00035532591603104494,0.0019135059889761879,0.0004171110055446197,0.0007201655644718776,0.004818468197344158,5.872578848909924e-06,2.4224989555364612e-05,0.0026611551440274247,0.00024899992954912937,0.10575565448140177,1.7026152515972146
254.0,3.177876508641423e-05,0.00025180322480799474,0.0008996437572192029,0.0002324819956972312,0.00036130864011713206,0.004564277155661637,1.471275650325912e-05,0.0009191142051553031,0.0025667117773090086,0.0006037810918000541,0.10220378353738788,1.761153575185007
250.0,2.4724479511289957e-05,0.0001248007511895677,0.00035761531220282103,0.00026363584032700266,0.002320917848642766,0.003936873280989908,0.0007517952777255762,0.004131473726308736,0.0019411567105758433,0.000981449150852873,0.12179672564698275,1.7741700288726359
261.0,1.675023424123284e-05,0.0001822904847278582,0.0003985124182330094,0.00047691929370364373,0.0013060649361561001,0.0036405589799036056,0.001876817464846599,6.362305697694036e-05,0.003440101765585681,0.00013064246697106865,0.10738845888337227,1.8466641986742651
258.0,1.6115168664022297e-05,9.120277984266532e-05,0.0018213609875180376,0.00022069718307597612,0.0019956949413441126,0.0032635048678991948,0.007189774039053449,0.00266971420974913,0.002618444475135458,0.0003374982146378922,0.14221113482044906,2.010771154234707
281.0,0.00021679321813645213,1.285001259268905e-07,8.047573133574005e-05,0.00037635503948793537,0.0002966271019082698,0.004225195608643792,3.2603434939746178e-06,0.0002884732015578128,0.0012976365020660478,0.00188005107581049,0.09308596200591387,2.24880816174607
