Unnamed: 0,case_id,solver_status,termination_condition,objective_metric,objective_value,objective_unit,total_costs,operating_costs,methanol_output_period,CAPEX_technologies,CAPEX_total_technologies,OPEX_fix_technologies,CAPEX_industries,CAPEX_total_industries,OPEX_fix_industries,solver_time,start_time,end_time,time_step,direct_emitted_co2,indirect_emitted_co2,technology_symbiosis,direct_symbiosis,wt_scale,pv_scale,bess_scale,anaerobic_digester_lvl2_scale,compressor_biogas_scale,steam_generator_scale,reformer_auto_scale,reverse_water_gas_shift_scale,compressor_syngas_mp_to_hp_scale,electrolyzer_lvl2_scale,storage_o2_l_scale,compressor_h2_lp_to_mp_scale,compressor_h2_mp_to_hp_scale,cgh2_scale,biogas_storage_scale,compressor_cgh2_scale,meohsyn_syngas_scale,distillery_syngas_scale,fuel_boiler_aux_scale,storage_meoh_scale,genset_gas_scale,wt_CAPEX,pv_CAPEX,bess_CAPEX,anaerobic_digester_lvl2_CAPEX,compressor_biogas_CAPEX,steam_generator_CAPEX,reformer_auto_CAPEX,reverse_water_gas_shift_CAPEX,compressor_syngas_mp_to_hp_CAPEX,electrolyzer_lvl2_CAPEX,storage_o2_l_CAPEX,compressor_h2_lp_to_mp_CAPEX,compressor_h2_mp_to_hp_CAPEX,cgh2_CAPEX,biogas_storage_CAPEX,compressor_cgh2_CAPEX,meohsyn_syngas_CAPEX,distillery_syngas_CAPEX,fuel_boiler_aux_CAPEX,storage_meoh_CAPEX,genset_gas_CAPEX,wt_OPEX_fix,pv_OPEX_fix,bess_OPEX_fix,anaerobic_digester_lvl2_OPEX_fix,compressor_biogas_OPEX_fix,steam_generator_OPEX_fix,reformer_auto_OPEX_fix,reverse_water_gas_shift_OPEX_fix,compressor_syngas_mp_to_hp_OPEX_fix,electrolyzer_lvl2_OPEX_fix,storage_o2_l_OPEX_fix,compressor_h2_lp_to_mp_OPEX_fix,compressor_h2_mp_to_hp_OPEX_fix,cgh2_OPEX_fix,biogas_storage_OPEX_fix,compressor_cgh2_OPEX_fix,meohsyn_syngas_OPEX_fix,distillery_syngas_OPEX_fix,fuel_boiler_aux_OPEX_fix,storage_meoh_OPEX_fix,genset_gas_OPEX_fix,optimization_mode,bo_penalized,bo_objective,_termination_condition_norm,abs_cost_gap,rel_cost_gap,layout_distance
209.0,209.0,ok,optimal,lcom,1387.464795634873,USD/ton,-4309100.224347798,-12691998.25614747,8882.400673099997,5340706.613725605,107884520.6577221,3042191.418074069,0,0,0,746.6924457550049,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.08722850645564403,17.60834164552691,59.96968181740343,20000,205479.4520547945,2310895.075662843,19381,12540038.28734183,157112.0592092517,1.607163502616494,0,56855.01606856109,11306.39524090703,1.067843370399889,5.299124549744953,30204.22728642308,19799,22703,164506.3298436465,288,2.38605235141464,219441.9948846584,15225833.22676091,12036255.64734635,17237350.05768161,1999119.308959896,1167016.919115449,1428207.876875015,5734707.685855009,1670106.881757624,4683478.227361868,0,698317.5664921068,236638.3177742235,2465846.476749948,529912.4549744952,467244.9935308557,18739963.83407812,17233342.61522749,566472.278897763,681169.5217856169,4864094.771613154,3291.701334922496,107474.921117087,144402.0917252867,603169.5106371151,83832.3545775171,35002.51430689419,57115.27208069135,286669.9195931409,70035.33589333424,93648.18286464547,0,29283.69786610356,9923.3433809397,0,0,0,562070.5591056717,861470.4031059485,1500.584233185006,20430.42010889874,72870.60614268806,BO,0.0,1387.464795634873,optimal,583.4513556467411,72.56736350767389,0.07047564291007222
210.0,210.0,ok,optimal,lcom,1326.982537532307,USD/ton,-5040753.837361215,-13511992.58374162,9456.795006699998,5409377.425809232,109267312.0213932,3061861.320571174,0,0,0,668.3147921562195,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.2728560959630906,18.44700959068017,60.19075958367348,20000,205479.4520547945,2325203.285202059,19501,12540038.28734183,156754.9683125187,1.711148762450887,0,60533.59862046259,12037.93154384199,1.03233095544931,5.250802311757367,32158.47426712075,19754,22755,165524.892331714,288,2.414556728828912,612445.4953721405,15876977.68212273,12071739.83094241,17237350.05768161,1999119.308959896,1172793.939308662,1436164.061122767,5734707.685855009,1667562.681286009,4955339.807392081,0,728275.2151239578,246790.0423145693,2383841.787940601,525080.2311757366,487289.6866802826,18709074.26519443,17268073.24449179,568819.8342088743,681169.5217856169,4904697.64243406,9186.8817349358,112071.1686874886,144827.8047114981,603169.5106371151,83832.3545775171,35175.78534405914,57433.44679138454,286669.9195931409,69928.64575478337,99084.1733240015,0,30539.96116722723,10349.0523255861,0,0,0,561144.0836115505,863206.5381007928,1506.8029037495,20430.42010889874,73304.77119744528,BO,0.0,1326.982537532307,optimal,522.9690975441752,65.0448203393086,0.07071363967843834
211.0,211.0,ok,optimal,lcom,1492.80825914332,USD/ton,-3268355.123685633,-11627750.47768035,8136.392378520001,5318600.921735554,107459149.2752191,3040794.432259161,0,0,0,912.5572600364685,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.005617924500356268,17.72181689627147,59.96665904996985,20000,205479.4520547945,2167216.804873218,18176,12540038.28734183,155437.699671237,1.472141688316846,0,52078.48436589674,10356.51677730901,1.054495045343205,5.316189314778019,27666.69481938264,19588,23282,154278.2648593013,288,2.446357198418191,18592.82828658615,15314114.10433174,12035770.29563019,17237350.05768161,1999119.308959896,1108599.959434713,1348035.543066144,5734707.685855009,1658160.816177282,4327819.112774077,0,658444.1833487012,223126.4561746067,2435022.74246089,531618.9314778019,440565.6723410966,18594958.23270988,17619521.65454307,542625.8644055437,681169.5217856169,4949826.303774653,278.8984748480297,108098.0712732568,144396.2688344236,603169.5106371151,83832.3545775171,33250.40563263431,53909.11089576852,286669.9195931409,69534.38189771779,86536.62427859081,0,27611.62177794737,9356.728288211316,0,0,0,557721.384253675,880774.9466352054,1437.415116287272,20430.42010889874,73786.36998392339,BO,0.0,1492.80825914332,optimal,688.794819155188,85.66956532037018,0.07988940307210865
212.0,212.0,ok,optimal,lcom,1500.846712105332,USD/ton,-3227091.938048033,-11666878.0469485,8163.045564770002,5393338.184266574,108978791.8770877,3046447.924633897,0,0,0,653.1792271137238,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.2787660330988685,18.95485524302944,59.61206015983607,20000,205479.4520547945,2146112.195802875,17999,12540038.28734183,156826.3864918653,1.476951020517595,0,52248.61930183045,10390.35042934128,1.082631989582027,5.29654531342081,27757.07900409742,19763,22851,152775.8851894016,288,2.529851517739852,624371.4256519958,16269825.05057376,11978799.96509868,17237350.05768161,1999119.308959896,1099954.975957599,1336215.175744854,5734707.685855009,1668071.674260061,4340541.713991017,0,659884.6231332235,223614.5768575457,2499996.114718497,529654.531342081,441529.4720650268,18715253.72573403,17332166.32902344,539079.7680652007,681169.5217856169,5067486.18058861,9365.774570115438,114844.1689763084,143712.7809511429,603169.5106371151,83832.3545775171,32991.11534053646,53436.40415147696,286669.9195931409,69949.9901934504,86791.0182198965,0,27672.02610610448,9377.197454801502,0,0,0,561329.4251026666,866410.4606711592,1428.021512300104,20430.42010889874,75037.33646726685,BO,0.0,1500.846712105332,optimal,696.8332721172001,86.66935618980276,0.08520377822693131
